['0.0000', '0.0000', '0.0000', '0.0014', '0.0000', '0.0000', '0.0000', '0.0000', '0.0000', '0.0000', '0.0000', '0.0000', '0.0000', '0.0000']
['0.0000', '0.0000', '0.0000', '0.0000', '0.0000', '0.0000', '0.0000', '0.0000', '0.0000', '0.0000', '0.0000', '0.0000', '0.0000', '0.0000']
['0.0000', '0.0000', '0.0000', '0.0007', '0.0000', '0.0000', '0.0000', '0.0007', '0.0000', '0.0007', '0.0007', '0.0000', '0.0000', '0.0000']
['0.0000', '0.0000', '0.0000', '0.0000', '0.0000', '0.0000', '0.0000', '0.0000', '0.0000', '0.0000', '0.0000', '0.0000', '0.0000', '0.0000']
['0.0864', '0.0136', '0.0243', '0.0129', '0.0000', '0.0000', '0.0000', '0.0000', '0.0000', '0.0000', '0.0000', '0.0000', '0.0000', '0.0000']
['0.1367', '0.0456', '0.0733', '0.0000', '0.0000', '0.0000', '0.0000', '0.0000', '0.0000', '0.0000', '0.0000', '0.0011', '0.0000', '0.0000']
['0.0950', '0.0000', '0.0114', '0.0000', '0.0064', '0.0000', '0.0000', '0.0000', '0.0000', '0.0007', '0.0000', '0.0007', '0.0014', '0.0100']
['0.0733', '0.0000', '0.0067', '0.0000', '0.0000', '0.0000', '0.0000', '0.0000', '0.0000', '0.0000', '0.0000', '0.0011', '0.0000', '0.0000']
['0.2664', '0.2636', '0.2271', '0.2886', '0.2557', '0.0600', '0.0314', '0.0000', '0.0000', '0.0000', '0.0000', '0.0000', '0.0000', '0.0000']
['0.2067', '0.1689', '0.1556', '0.1633', '0.1433', '0.0756', '0.0133', '0.0044', '0.0000', '0.0000', '0.0000', '0.0000', '0.0000', '0.0000']
['0.3664', '0.3214', '0.3936', '0.1371', '0.1421', '0.0064', '0.0093', '0.0000', '0.0000', '0.0007', '0.0000', '0.0093', '0.0000', '0.0007']
['0.1978', '0.1444', '0.1578', '0.0667', '0.0700', '0.0044', '0.0044', '0.0000', '0.0000', '0.0011', '0.0000', '0.0000', '0.0000', '0.0000']
